epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.416,2.79399,4.30304,2.22954,0.00436,0.27917,0.0092,0.0041,2.13563,4.00616,2.39844,0,0,0
2,36.4047,2.65143,4.37787,2.06826,0.00438,0.27917,0.01004,0.00436,2.12256,4.02164,2.40069,1.23763e-05,1.23763e-05,1.23763e-05
3,54.4739,2.78983,4.35301,2.17518,0.00438,0.27917,0.0114,0.00474,2.11227,4.01201,2.37452,2.4505e-05,2.4505e-05,2.4505e-05
4,72.4155,2.79246,4.22565,2.25166,0.00433,0.27917,0.01005,0.00412,2.08898,3.99636,2.35704,3.63862e-05,3.63862e-05,3.63862e-05
5,90.2852,2.49426,4.20547,2.05042,0.00433,0.27917,0.00975,0.00395,2.07674,3.99174,2.3454,4.802e-05,4.802e-05,4.802e-05
6,108.335,2.53323,4.19367,2.04788,0.00548,0.3625,0.03542,0.00575,1.9957,4.0063,2.27708,5.94062e-05,5.94062e-05,5.94062e-05
7,126.31,2.52468,4.14134,1.99803,0.00548,0.3625,0.03093,0.00518,1.95317,3.98198,2.24713,7.0545e-05,7.0545e-05,7.0545e-05
8,144.317,2.38054,4.11964,1.87623,0.00547,0.3625,0.09243,0.01969,1.96333,3.96003,2.22997,8.14362e-05,8.14362e-05,8.14362e-05
9,162.33,2.39081,4.025,1.85045,0.00548,0.3625,0.09198,0.01978,1.92055,3.93494,2.16206,9.208e-05,9.208e-05,9.208e-05
10,180.225,2.25658,3.9526,1.86371,0.00654,0.4125,0.09319,0.01161,1.91429,3.9195,2.10777,0.000102476,0.000102476,0.000102476
11,198.347,2.27515,3.82066,1.82456,0.00534,0.32917,0.00664,0.00271,1.95474,3.94491,2.11857,0.000112625,0.000112625,0.000112625
12,216.309,2.16354,3.74102,1.71471,0.00654,0.4125,0.00893,0.00282,2.0251,3.89011,2.15016,0.000122526,0.000122526,0.000122526
13,234.234,2.22238,3.63349,1.64547,0.00654,0.4125,0.01248,0.00329,2.09964,3.91212,2.12686,0.00013218,0.00013218,0.00013218
14,252.14,2.1515,3.55008,1.61388,0.00655,0.4125,0.01492,0.00501,2.17566,3.91746,2.07051,0.000141586,0.000141586,0.000141586
15,270.145,2.10877,3.36395,1.48139,0.00913,0.57083,0.03625,0.01948,2.3069,3.93597,2.01987,0.000150745,0.000150745,0.000150745
16,288.053,2.18725,3.321,1.59073,0.00912,0.57083,0.05762,0.02357,2.31198,3.87547,1.93754,0.000159656,0.000159656,0.000159656
17,306.164,1.98425,3.14651,1.40082,0.00905,0.57083,0.0552,0.03352,2.3284,3.84671,1.90195,0.00016832,0.00016832,0.00016832
18,324.366,1.92695,3.05338,1.39556,0.00905,0.57083,0.0552,0.03352,2.3284,3.84671,1.90195,0.000176736,0.000176736,0.000176736
19,342.402,1.93039,3.09291,1.37868,0.00792,0.50833,0.0354,0.02035,2.23383,3.79879,1.80463,0.000184905,0.000184905,0.000184905
20,360.36,1.90928,2.84278,1.39425,0.00792,0.50833,0.0354,0.02035,2.23383,3.79879,1.80463,0.000192826,0.000192826,0.000192826
21,378.322,2.03451,2.97929,1.42263,0.00789,0.50833,0.03775,0.01956,2.17375,3.78469,1.75329,0.0002005,0.0002005,0.0002005
22,396.108,1.86359,2.75969,1.41385,0.00789,0.50833,0.03775,0.01956,2.17375,3.78469,1.75329,0.000207926,0.000207926,0.000207926
23,414.074,2.04525,2.85958,1.41435,0.00788,0.50833,0.05616,0.023,2.12643,3.72436,1.72471,0.000215105,0.000215105,0.000215105
24,432.054,2.00846,2.74512,1.46841,0.00788,0.50833,0.05616,0.023,2.12643,3.72436,1.72471,0.000222036,0.000222036,0.000222036
25,449.947,1.76795,2.59195,1.32027,0.00905,0.55833,0.08924,0.04837,1.96221,3.6837,1.66121,0.00022872,0.00022872,0.00022872
26,467.848,1.72706,2.47304,1.36692,0.00905,0.55833,0.08924,0.04837,1.96221,3.6837,1.66121,0.000235156,0.000235156,0.000235156
27,485.914,1.88875,2.42335,1.46115,0.01018,0.64167,0.18381,0.11194,1.90858,3.62673,1.6642,0.000241345,0.000241345,0.000241345
28,503.837,1.86245,2.2475,1.36856,0.01018,0.64167,0.18381,0.11194,1.90858,3.62673,1.6642,0.000247286,0.000247286,0.000247286
29,521.994,1.80485,2.21968,1.29179,0.01172,0.70417,0.23373,0.15426,1.81058,3.55792,1.60521,0.00025298,0.00025298,0.00025298
30,540.043,1.5861,2.0256,1.27816,0.01172,0.70417,0.23373,0.15426,1.81058,3.55792,1.60521,0.000258426,0.000258426,0.000258426
31,558.109,1.79246,2.34145,1.42358,0.01304,0.75417,0.34427,0.22354,1.63444,3.52258,1.52471,0.000263625,0.000263625,0.000263625
32,576.133,1.83604,2.20903,1.42714,0.01304,0.75417,0.34427,0.22354,1.63444,3.52258,1.52471,0.000268576,0.000268576,0.000268576
33,594.207,1.78834,2.27343,1.3653,0.01583,0.86667,0.37125,0.24549,1.63867,3.46772,1.49409,0.00027328,0.00027328,0.00027328
34,612.098,1.73573,1.97398,1.30976,0.01583,0.86667,0.37125,0.24549,1.63867,3.46772,1.49409,0.000277736,0.000277736,0.000277736
35,630.1,1.64188,2.04169,1.3135,0.01459,0.80417,0.37242,0.24637,1.62014,3.42395,1.48027,0.000281945,0.000281945,0.000281945
36,648.041,1.73851,1.94728,1.32602,0.01459,0.80417,0.37242,0.24637,1.62014,3.42395,1.48027,0.000285906,0.000285906,0.000285906
37,666.017,1.77415,1.92529,1.37371,0.01629,0.86667,0.38177,0.23453,1.59335,3.34415,1.4125,0.00028962,0.00028962,0.00028962
38,684.058,1.57662,1.9179,1.30699,0.01629,0.86667,0.38177,0.23453,1.59335,3.34415,1.4125,0.000293086,0.000293086,0.000293086
39,702.014,1.64303,1.94746,1.31349,0.01442,0.80417,0.39415,0.22025,1.70737,3.28734,1.48046,0.000296305,0.000296305,0.000296305
40,720.029,1.59929,1.79537,1.24767,0.01442,0.80417,0.39415,0.22025,1.70737,3.28734,1.48046,0.000299276,0.000299276,0.000299276
41,738.061,1.57915,1.82506,1.24509,0.01807,1,0.44854,0.26795,1.72833,3.23401,1.47106,0.000302,0.000302,0.000302
42,756.007,1.52659,1.72752,1.23846,0.01807,1,0.44854,0.26795,1.72833,3.23401,1.47106,0.000304476,0.000304476,0.000304476
43,773.925,1.52787,1.68598,1.21362,0.01813,1,0.51215,0.28846,1.73011,3.22949,1.46205,0.000306705,0.000306705,0.000306705
44,791.834,1.60651,1.69383,1.2855,0.01813,1,0.51215,0.28846,1.73011,3.22949,1.46205,0.000308686,0.000308686,0.000308686
